event_id,manual_short_label,manual_notes
b3968f0a-0572-45cb-a245-18eaa5df0242,1,Pase a un compañero cercano para continuar la jugada.
2899ac4a-9755-4af8-a48b-bbb9c0470191,1,Pase corto a un compañero cercano.
f09f688c-5780-47fd-afa7-dcebf863d822,1,Pase corto a un compañero cercano.
61560b4b-33ec-4928-bf36-fcd9d20edc6a,1,Pase corto a un compañero cercano.
a4b9cf95-5871-4900-b42a-c4fbce8e474f,1,Pase corto a un compañero cercano.
cde28215-58f1-4d04-9d2a-39176b532a1d,1,Pase corto a un compañero cercano.
93d639cf-e1af-43c6-b336-d155b26b5657,1,Pase corto a un compañero cercano.
8440efbf-6656-4167-b654-83308b6fb86c,1,Pase corto a un compañero cercano.
105ac4dd-cecf-49a8-9f08-b9e444876c53,1,Pase corto a un compañero cercano.
3682f3e7-8032-495c-a1fa-c071a7098f4d,1,Pase corto a un compañero cercano.
f12df1aa-38a5-418c-8575-af91ca2992dc,1,Pase corto a un compañero cercano.
c2301c75-4414-4a8f-9ea5-2a467bdfa4da,1,Pase corto a un compañero cercano.
2809fe62-88d2-4c14-8ef7-c1544eddc2a6,1,Pase corto a un compañero cercano.
2a0ffad2-0a3f-4d0e-a93b-7543d3ef72c0,1,Pase corto a un compañero cercano.
a812ff82-0faa-4263-9388-36827887f711,1,Pase corto a un compañero cercano.
410f82ba-9b06-4c30-a782-e1a6aaeacdc7,1,Pase corto a un compañero cercano.
b3c6bc8f-201b-46aa-9234-c32068db0084,1,Pase corto a un compañero cercano.
f3653b3a-ec8d-4bec-919f-c142db690ba3,1,Pase corto a un compañero cercano.
5a7e41ef-4646-4b27-93dd-3f76106d1b08,1,Pase corto a un compañero cercano.
70eea87e-4cf2-47cd-9291-b96a21fd06f3,1,Pase corto a un compañero cercano.
ca979636-194d-4be8-a007-3c94903ca972,1,Pase corto a un compañero cercano.
00271da8-c53a-4815-95dd-782128319ef4,1,Pase corto a un compañero cercano.
e6f9472b-3a5f-43e5-9131-2ccca6c631c6,1,Pase corto a un compañero cercano.
718f7d77-970e-428c-b8bf-3bbecb5a1d1b,1,Pase corto a un compañero cercano.
321c8ab5-dacc-4b2d-9844-f7f813e6f5ab,0,Pase corto a un compañero cercano.
ac28ae9b-422a-46f5-b076-568dac0789ee,1,Pase corto a un compañero cercano.
06d79658-ef57-401b-80a9-786ad3f99e1e,0,Pase corto a un compañero cercano.
aee802b4-c4cc-44c9-ba89-773441e06404,1,Pase corto a un compañero cercano.
d398193a-6be2-4c2a-b98d-51739c6147bf,1,Pase corto a un compañero cercano.
a3258d58-e5ea-4bed-ae4e-9cea52236dfd,1,Pase corto a un compañero cercano.
130142f5-0cea-4f41-bb4c-162c1a1226cd,1,Pase corto a un compañero cercano.
5b35a116-e44d-41e9-b10f-b2e392ce26d0,1,Pase corto a un compañero cercano.
e04c56fe-19a6-479a-9913-17c6f4ea6c76,0,Pase corto a un compañero cercano.
2e8a0071-55cf-43e5-8fa0-0161bf5b7fc1,0,Pase corto a un compañero cercano.
85f99641-f577-48bf-833e-7bf421701af8,0,Pase corto a un compañero cercano.
a545cd0c-4b8e-4ec5-9ea1-1faf5d430058,0,Pase corto a un compañero cercano.
9fbd3915-4e00-4b91-a107-2300a52c549b,0,Pase corto a un compañero cercano.
597dbe66-a729-46dc-aa95-7fd84666ee05,0,Pase corto a un compañero cercano.
aa42270f-13f6-4472-b2f2-b8bdc86d5170,0,Pase corto a un compañero cercano.
bc8f8066-1c04-4473-b9b9-2e83fb77cc5f,0,Pase corto a un compañero cercano.
